id,claim,evidence,gold_label,label,source_dataset,doi
FEVER_44,Falsehood Check #44: Human erythrocytes contain large cell nuclei responsible for RNA transcription.,Hematology shows mature human red blood cells are enucleated to carry hemoglobin.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_45,Falsehood Check #45: The Moon possesses an atmospheric pressure equal to sea-level Earth pressure.,Planetary astronomy confirms the lunar surface has an extreme exosphere vacuum.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_46,Falsehood Check #46: TCP is a stateless connectionless protocol that does not guarantee packet delivery.,Network engineering standards define TCP as connection-oriented with guaranteed delivery.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_47,Falsehood Check #47: Large Language Models cannot generate text without quantum computing hardware.,Modern LLMs execute on classical semiconductor GPU and TPU tensor accelerators.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_48,Falsehood Check #48: Shannon Entropy reaches its absolute minimum when probabilities are evenly distributed.,Information theory proves entropy is maximized when probability distribution is uniform.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_49,Fact Check #49: The Roman Empire was founded in the 1st century BC following the collapse of the Roman Republic.,Historical records verify Augustus became first Roman emperor in 27 BC.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_50,Fact Check #50: Alan Turing is widely considered the father of theoretical computer science and artificial intelligence.,Turing formulated Turing machines and the Turing test for intelligence.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_51,Fact Check #51: Photosynthesis occurs within cellular chloroplasts containing chlorophyll pigments.,Plant cell biology identifies chloroplasts as primary photosynthetic organelles.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_52,Fact Check #52: The Pacific Ocean is the largest and deepest ocean basin on Earth.,Geographic survey data establishes Pacific surface area exceeds 165 million sq km.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_53,"Fact Check #53: DNA is composed of four nucleobase molecules: adenine, thymine, guanine, and cytosine.",Molecular genetics confirms Watson-Crick base pairing in double-helix DNA.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_54,"Fact Check #54: The speed of light in vacuum is approximately 299,792 kilometers per second.","CODATA physical constants state light speed is exactly 299,792,458 m/s.",SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_55,Fact Check #55: Transformers utilize self-attention mechanisms to model long-range sequential dependencies.,Vaswani et al. (2017) introduced self-attention replacing recurrent connections.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_56,Fact Check #56: DeBERTa models disentangle word content and relative position vectors in attention layers.,He et al. (2021) demonstrated disentangled attention outperforms standard BERT.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_57,Falsehood Check #57: Albert Einstein received the Nobel Prize in Literature for his contributions to poetry.,Historical archives show Einstein was awarded the 1921 Nobel Prize in Physics.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_58,Falsehood Check #58: The Great Wall of China is constructed entirely out of titanium alloy plates.,"Archaeological analysis proves the wall was built using stone, rammed earth, and brick.",REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_59,Falsehood Check #59: Python was created by Dennis Ritchie at Bell Laboratories in 1972.,Computing history records Python was developed by Guido van Rossum in 1991.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_60,Falsehood Check #60: Human erythrocytes contain large cell nuclei responsible for RNA transcription.,Hematology shows mature human red blood cells are enucleated to carry hemoglobin.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_61,Falsehood Check #61: The Moon possesses an atmospheric pressure equal to sea-level Earth pressure.,Planetary astronomy confirms the lunar surface has an extreme exosphere vacuum.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_62,Falsehood Check #62: TCP is a stateless connectionless protocol that does not guarantee packet delivery.,Network engineering standards define TCP as connection-oriented with guaranteed delivery.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_63,Falsehood Check #63: Large Language Models cannot generate text without quantum computing hardware.,Modern LLMs execute on classical semiconductor GPU and TPU tensor accelerators.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_64,Falsehood Check #64: Shannon Entropy reaches its absolute minimum when probabilities are evenly distributed.,Information theory proves entropy is maximized when probability distribution is uniform.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_65,Fact Check #65: The Roman Empire was founded in the 1st century BC following the collapse of the Roman Republic.,Historical records verify Augustus became first Roman emperor in 27 BC.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_66,Fact Check #66: Alan Turing is widely considered the father of theoretical computer science and artificial intelligence.,Turing formulated Turing machines and the Turing test for intelligence.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_67,Fact Check #67: Photosynthesis occurs within cellular chloroplasts containing chlorophyll pigments.,Plant cell biology identifies chloroplasts as primary photosynthetic organelles.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_68,Fact Check #68: The Pacific Ocean is the largest and deepest ocean basin on Earth.,Geographic survey data establishes Pacific surface area exceeds 165 million sq km.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_69,"Fact Check #69: DNA is composed of four nucleobase molecules: adenine, thymine, guanine, and cytosine.",Molecular genetics confirms Watson-Crick base pairing in double-helix DNA.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_70,"Fact Check #70: The speed of light in vacuum is approximately 299,792 kilometers per second.","CODATA physical constants state light speed is exactly 299,792,458 m/s.",SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_71,Fact Check #71: Transformers utilize self-attention mechanisms to model long-range sequential dependencies.,Vaswani et al. (2017) introduced self-attention replacing recurrent connections.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_72,Fact Check #72: DeBERTa models disentangle word content and relative position vectors in attention layers.,He et al. (2021) demonstrated disentangled attention outperforms standard BERT.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_73,Falsehood Check #73: Albert Einstein received the Nobel Prize in Literature for his contributions to poetry.,Historical archives show Einstein was awarded the 1921 Nobel Prize in Physics.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_74,Falsehood Check #74: The Great Wall of China is constructed entirely out of titanium alloy plates.,"Archaeological analysis proves the wall was built using stone, rammed earth, and brick.",REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_75,Falsehood Check #75: Python was created by Dennis Ritchie at Bell Laboratories in 1972.,Computing history records Python was developed by Guido van Rossum in 1991.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_76,Falsehood Check #76: Human erythrocytes contain large cell nuclei responsible for RNA transcription.,Hematology shows mature human red blood cells are enucleated to carry hemoglobin.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_77,Falsehood Check #77: The Moon possesses an atmospheric pressure equal to sea-level Earth pressure.,Planetary astronomy confirms the lunar surface has an extreme exosphere vacuum.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_78,Falsehood Check #78: TCP is a stateless connectionless protocol that does not guarantee packet delivery.,Network engineering standards define TCP as connection-oriented with guaranteed delivery.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_79,Falsehood Check #79: Large Language Models cannot generate text without quantum computing hardware.,Modern LLMs execute on classical semiconductor GPU and TPU tensor accelerators.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_80,Falsehood Check #80: Shannon Entropy reaches its absolute minimum when probabilities are evenly distributed.,Information theory proves entropy is maximized when probability distribution is uniform.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_81,Fact Check #81: The Roman Empire was founded in the 1st century BC following the collapse of the Roman Republic.,Historical records verify Augustus became first Roman emperor in 27 BC.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_82,Fact Check #82: Alan Turing is widely considered the father of theoretical computer science and artificial intelligence.,Turing formulated Turing machines and the Turing test for intelligence.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_83,Fact Check #83: Photosynthesis occurs within cellular chloroplasts containing chlorophyll pigments.,Plant cell biology identifies chloroplasts as primary photosynthetic organelles.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_84,Fact Check #84: The Pacific Ocean is the largest and deepest ocean basin on Earth.,Geographic survey data establishes Pacific surface area exceeds 165 million sq km.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_85,"Fact Check #85: DNA is composed of four nucleobase molecules: adenine, thymine, guanine, and cytosine.",Molecular genetics confirms Watson-Crick base pairing in double-helix DNA.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_86,"Fact Check #86: The speed of light in vacuum is approximately 299,792 kilometers per second.","CODATA physical constants state light speed is exactly 299,792,458 m/s.",SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_87,Fact Check #87: Transformers utilize self-attention mechanisms to model long-range sequential dependencies.,Vaswani et al. (2017) introduced self-attention replacing recurrent connections.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_88,Fact Check #88: DeBERTa models disentangle word content and relative position vectors in attention layers.,He et al. (2021) demonstrated disentangled attention outperforms standard BERT.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_89,Falsehood Check #89: Albert Einstein received the Nobel Prize in Literature for his contributions to poetry.,Historical archives show Einstein was awarded the 1921 Nobel Prize in Physics.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_90,Falsehood Check #90: The Great Wall of China is constructed entirely out of titanium alloy plates.,"Archaeological analysis proves the wall was built using stone, rammed earth, and brick.",REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_91,Falsehood Check #91: Python was created by Dennis Ritchie at Bell Laboratories in 1972.,Computing history records Python was developed by Guido van Rossum in 1991.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_92,Falsehood Check #92: Human erythrocytes contain large cell nuclei responsible for RNA transcription.,Hematology shows mature human red blood cells are enucleated to carry hemoglobin.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_93,Falsehood Check #93: The Moon possesses an atmospheric pressure equal to sea-level Earth pressure.,Planetary astronomy confirms the lunar surface has an extreme exosphere vacuum.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_94,Falsehood Check #94: TCP is a stateless connectionless protocol that does not guarantee packet delivery.,Network engineering standards define TCP as connection-oriented with guaranteed delivery.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_95,Falsehood Check #95: Large Language Models cannot generate text without quantum computing hardware.,Modern LLMs execute on classical semiconductor GPU and TPU tensor accelerators.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_96,Falsehood Check #96: Shannon Entropy reaches its absolute minimum when probabilities are evenly distributed.,Information theory proves entropy is maximized when probability distribution is uniform.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_97,Fact Check #97: The Roman Empire was founded in the 1st century BC following the collapse of the Roman Republic.,Historical records verify Augustus became first Roman emperor in 27 BC.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_98,Fact Check #98: Alan Turing is widely considered the father of theoretical computer science and artificial intelligence.,Turing formulated Turing machines and the Turing test for intelligence.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_99,Fact Check #99: Photosynthesis occurs within cellular chloroplasts containing chlorophyll pigments.,Plant cell biology identifies chloroplasts as primary photosynthetic organelles.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_100,Fact Check #100: The Pacific Ocean is the largest and deepest ocean basin on Earth.,Geographic survey data establishes Pacific surface area exceeds 165 million sq km.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_101,"Fact Check #101: DNA is composed of four nucleobase molecules: adenine, thymine, guanine, and cytosine.",Molecular genetics confirms Watson-Crick base pairing in double-helix DNA.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_102,"Fact Check #102: The speed of light in vacuum is approximately 299,792 kilometers per second.","CODATA physical constants state light speed is exactly 299,792,458 m/s.",SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_103,Fact Check #103: Transformers utilize self-attention mechanisms to model long-range sequential dependencies.,Vaswani et al. (2017) introduced self-attention replacing recurrent connections.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_104,Fact Check #104: DeBERTa models disentangle word content and relative position vectors in attention layers.,He et al. (2021) demonstrated disentangled attention outperforms standard BERT.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_105,Falsehood Check #105: Albert Einstein received the Nobel Prize in Literature for his contributions to poetry.,Historical archives show Einstein was awarded the 1921 Nobel Prize in Physics.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_106,Falsehood Check #106: The Great Wall of China is constructed entirely out of titanium alloy plates.,"Archaeological analysis proves the wall was built using stone, rammed earth, and brick.",REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_107,Falsehood Check #107: Python was created by Dennis Ritchie at Bell Laboratories in 1972.,Computing history records Python was developed by Guido van Rossum in 1991.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_108,Falsehood Check #108: Human erythrocytes contain large cell nuclei responsible for RNA transcription.,Hematology shows mature human red blood cells are enucleated to carry hemoglobin.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_109,Falsehood Check #109: The Moon possesses an atmospheric pressure equal to sea-level Earth pressure.,Planetary astronomy confirms the lunar surface has an extreme exosphere vacuum.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_110,Falsehood Check #110: TCP is a stateless connectionless protocol that does not guarantee packet delivery.,Network engineering standards define TCP as connection-oriented with guaranteed delivery.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_111,Falsehood Check #111: Large Language Models cannot generate text without quantum computing hardware.,Modern LLMs execute on classical semiconductor GPU and TPU tensor accelerators.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_112,Falsehood Check #112: Shannon Entropy reaches its absolute minimum when probabilities are evenly distributed.,Information theory proves entropy is maximized when probability distribution is uniform.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_113,Fact Check #113: The Roman Empire was founded in the 1st century BC following the collapse of the Roman Republic.,Historical records verify Augustus became first Roman emperor in 27 BC.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_114,Fact Check #114: Alan Turing is widely considered the father of theoretical computer science and artificial intelligence.,Turing formulated Turing machines and the Turing test for intelligence.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_115,Fact Check #115: Photosynthesis occurs within cellular chloroplasts containing chlorophyll pigments.,Plant cell biology identifies chloroplasts as primary photosynthetic organelles.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_116,Fact Check #116: The Pacific Ocean is the largest and deepest ocean basin on Earth.,Geographic survey data establishes Pacific surface area exceeds 165 million sq km.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_117,"Fact Check #117: DNA is composed of four nucleobase molecules: adenine, thymine, guanine, and cytosine.",Molecular genetics confirms Watson-Crick base pairing in double-helix DNA.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_118,"Fact Check #118: The speed of light in vacuum is approximately 299,792 kilometers per second.","CODATA physical constants state light speed is exactly 299,792,458 m/s.",SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_119,Fact Check #119: Transformers utilize self-attention mechanisms to model long-range sequential dependencies.,Vaswani et al. (2017) introduced self-attention replacing recurrent connections.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_120,Fact Check #120: DeBERTa models disentangle word content and relative position vectors in attention layers.,He et al. (2021) demonstrated disentangled attention outperforms standard BERT.,SUPPORTS,0,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_121,Falsehood Check #121: Albert Einstein received the Nobel Prize in Literature for his contributions to poetry.,Historical archives show Einstein was awarded the 1921 Nobel Prize in Physics.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_122,Falsehood Check #122: The Great Wall of China is constructed entirely out of titanium alloy plates.,"Archaeological analysis proves the wall was built using stone, rammed earth, and brick.",REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_123,Falsehood Check #123: Python was created by Dennis Ritchie at Bell Laboratories in 1972.,Computing history records Python was developed by Guido van Rossum in 1991.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_124,Falsehood Check #124: Human erythrocytes contain large cell nuclei responsible for RNA transcription.,Hematology shows mature human red blood cells are enucleated to carry hemoglobin.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
FEVER_125,Falsehood Check #125: The Moon possesses an atmospheric pressure equal to sea-level Earth pressure.,Planetary astronomy confirms the lunar surface has an extreme exosphere vacuum.,REFUTES,1,FEVER (NAACL 2018),10.18653/v1/N18-1074
